#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Temperature, -UV)","Intensity, Lux (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Light Intensity, -UV)"
1,2/9/19 16:00,9.571,3100
2,2/9/19 16:30,6.471,2755.6
3,2/9/19 17:00,4.727,1550
4,2/9/19 17:30,3.472,215.3
5,2/9/19 18:00,1.872,0
6,2/9/19 18:30,1.112,0
7,2/9/19 19:00,0.784,0
8,2/9/19 19:30,0.674,0
9,2/9/19 20:00,0.784,0
10,2/9/19 20:30,0.01,0
11,2/9/19 21:00,-0.774,0
12,2/9/19 21:30,-1.228,0
13,2/9/19 22:00,-1.228,0
14,2/9/19 22:30,-1.114,0
15,2/9/19 23:00,-0.887,0
16,2/9/19 23:30,-0.437,0
17,2/10/19 0:00,-0.549,0
18,2/10/19 0:30,-0.662,0
19,2/10/19 1:00,-1.341,0
20,2/10/19 1:30,-1.799,0
21,2/10/19 2:00,-1.914,0
22,2/10/19 2:30,-1.456,0
23,2/10/19 3:00,-1.57,0
24,2/10/19 3:30,-1.341,0
25,2/10/19 4:00,-1.341,0
26,2/10/19 4:30,-1.799,0
27,2/10/19 5:00,-1.341,0
28,2/10/19 5:30,-1.799,0
29,2/10/19 6:00,-1.799,0
30,2/10/19 6:30,-2.261,247.6
31,2/10/19 7:00,-2.03,2497.2
32,2/10/19 7:30,-1.341,3616.7
33,2/10/19 8:00,-0.213,10333.4
34,2/10/19 8:30,0.343,8611.2
35,2/10/19 9:00,0.563,5166.7
36,2/10/19 9:30,1.003,5511.1
37,2/10/19 10:00,2.517,8611.2
38,2/10/19 10:30,14.134,137778.7
39,2/10/19 11:00,21.951,165334.4
40,2/10/19 11:30,26.488,176356.7
41,2/10/19 12:00,29.152,176356.7
42,2/10/19 12:30,30.862,170845.6
43,2/10/19 13:00,30.76,159823.3
44,2/10/19 13:30,29.953,143289.8
45,2/10/19 14:00,27.764,121245.2
46,2/10/19 14:30,27.961,104711.8
47,2/10/19 15:00,22.812,85422.8
48,2/10/19 15:30,16.713,18600.1
49,2/10/19 16:00,11.334,23422.4
50,2/10/19 16:30,8.879,9644.5
51,2/10/19 17:00,6.471,2238.9
52,2/10/19 17:30,5.655,150.7
53,2/10/19 18:00,4.415,0
54,2/10/19 18:30,3.261,0
55,2/10/19 19:00,2.195,0
56,2/10/19 19:30,1.439,0
57,2/10/19 20:00,1.548,0
58,2/10/19 20:30,1.221,0
59,2/10/19 21:00,0.784,0
60,2/10/19 21:30,-0.102,0
61,2/10/19 22:00,-0.887,0
62,2/10/19 22:30,-0.887,0
63,2/10/19 23:00,-1.001,0
64,2/10/19 23:30,-1.228,0
65,2/11/19 0:00,-1.228,0
66,2/11/19 0:30,-1.341,0
67,2/11/19 1:00,-1.57,0
68,2/11/19 1:30,-1.456,0
69,2/11/19 2:00,-1.57,0
70,2/11/19 2:30,-1.684,0
71,2/11/19 3:00,-1.914,0
72,2/11/19 3:30,-2.03,0
73,2/11/19 4:00,-2.145,0
74,2/11/19 4:30,-2.494,0
75,2/11/19 5:00,-2.377,0
76,2/11/19 5:30,-2.61,0
77,2/11/19 6:00,-2.727,0
78,2/11/19 6:30,-2.844,570.5
79,2/11/19 7:00,-2.377,2669.5
80,2/11/19 7:30,-1.684,4650
81,2/11/19 8:00,-0.662,6200
82,2/11/19 8:30,0.232,13777.9
83,2/11/19 9:00,0.343,5166.7
84,2/11/19 9:30,1.112,6200
85,2/11/19 10:00,2.624,8266.7
86,2/11/19 10:30,13.942,165334.4
87,2/11/19 11:00,21.091,176356.7
88,2/11/19 11:30,26.781,176356.7
89,2/11/19 12:00,29.252,176356.7
90,2/11/19 12:30,31.268,176356.7
91,2/11/19 13:00,31.37,165334.4
92,2/11/19 13:30,31.778,148801
93,2/11/19 14:00,30.054,126756.4
94,2/11/19 14:30,28.159,99200.7
95,2/11/19 15:00,26.195,79911.6
96,2/11/19 15:30,21.378,52355.9
97,2/11/19 16:00,9.275,4650
98,2/11/19 16:30,5.347,3444.5
99,2/11/19 17:00,2.837,2152.8
100,2/11/19 17:30,0.674,279.9
101,2/11/19 18:00,-0.774,0
102,2/11/19 18:30,-1.456,0
103,2/11/19 19:00,-1.114,0
104,2/11/19 19:30,-1.914,0
105,2/11/19 20:00,-1.799,0
106,2/11/19 20:30,-1.456,0
107,2/11/19 21:00,-2.377,0
108,2/11/19 21:30,-2.261,0
109,2/11/19 22:00,-2.494,0
110,2/11/19 22:30,-2.145,0
111,2/11/19 23:00,-2.261,0
112,2/11/19 23:30,-2.494,0
113,2/12/19 0:00,-3.079,0
114,2/12/19 0:30,-2.494,0
115,2/12/19 1:00,-2.727,0
116,2/12/19 1:30,-3.434,0
117,2/12/19 2:00,-3.079,0
118,2/12/19 2:30,-3.434,0
119,2/12/19 3:00,-3.911,0
120,2/12/19 3:30,-3.434,0
121,2/12/19 4:00,-3.197,0
122,2/12/19 4:30,-4.152,0
123,2/12/19 5:00,-4.272,0
124,2/12/19 5:30,-5.003,0
125,2/12/19 6:00,-4.514,0
126,2/12/19 6:30,-4.031,839.6
127,2/12/19 7:00,-4.031,5166.7
128,2/12/19 7:30,-2.727,7233.4
129,2/12/19 8:00,-1.228,9644.5
130,2/12/19 8:30,0.232,8266.7
131,2/12/19 8:43,,
132,2/12/19 8:43,,
133,2/12/19 8:44,,
134,2/12/19 9:00,2.73,7577.8
135,2/12/19 9:30,2.195,9300.1
136,2/12/19 10:00,4.623,15844.5
137,2/12/19 10:30,17.475,165334.4
138,2/12/19 11:00,26.683,176356.7
139,2/12/19 11:30,29.853,176356.7
140,2/12/19 12:00,28.357,154312.1
141,2/12/19 12:30,27.272,143289.8
142,2/12/19 13:00,28.456,115734.1
143,2/12/19 13:30,28.853,121245.2
144,2/12/19 14:00,28.258,104711.8
145,2/12/19 14:30,25.125,74400.5
146,2/12/19 15:00,22.908,68889.3
147,2/12/19 15:30,16.903,37200.2
148,2/12/19 16:00,12.787,22044.6
149,2/12/19 16:30,9.472,12400.1
150,2/12/19 17:00,6.573,3961.1
151,2/12/19 17:30,3.893,139.9
152,2/12/19 18:00,2.303,0
153,2/12/19 18:30,1.764,0
154,2/12/19 19:00,1.439,0
155,2/12/19 19:30,0.893,0
156,2/12/19 20:00,1.003,0
157,2/12/19 20:30,1.872,0
158,2/12/19 21:00,1.98,0
159,2/12/19 21:30,1.872,0
160,2/12/19 22:00,1.764,0
161,2/12/19 22:30,1.872,0
162,2/12/19 23:00,2.195,0
163,2/12/19 23:30,2.943,0
164,2/13/19 0:00,2.517,0
165,2/13/19 0:30,2.837,0
166,2/13/19 1:00,2.837,0
167,2/13/19 1:30,2.624,0
168,2/13/19 2:00,2.088,0
169,2/13/19 2:30,1.439,0
170,2/13/19 3:00,1.33,0
171,2/13/19 3:30,2.088,0
172,2/13/19 4:00,2.41,0
173,2/13/19 4:30,2.517,0
174,2/13/19 5:00,1.656,0
175,2/13/19 5:30,1.548,0
176,2/13/19 6:00,1.439,0
177,2/13/19 6:30,0.893,215.3
178,2/13/19 7:00,1.548,5166.7
179,2/13/19 7:30,3.683,12400.1
180,2/13/19 8:00,5.962,23422.4
181,2/13/19 8:30,8.779,33066.9
182,2/13/19 9:00,12.207,52355.9
183,2/13/19 9:30,14.23,49600.3
184,2/13/19 10:00,16.046,49600.3
185,2/13/19 10:30,20.234,85422.8
186,2/13/19 11:00,19.377,52355.9
187,2/13/19 11:30,16.046,42711.4
188,2/13/19 12:00,14.804,30311.3
189,2/13/19 12:30,14.613,44089.2
190,2/13/19 13:00,15.664,30311.3
191,2/13/19 13:30,15.473,35822.5
192,2/13/19 14:00,15.187,35822.5
193,2/13/19 14:30,12.401,24800.2
194,2/13/19 15:00,12.594,24800.2
195,2/13/19 15:30,11.916,12400.1
196,2/13/19 16:00,9.768,5511.1
197,2/13/19 16:30,9.669,10677.8
198,2/13/19 17:00,8.182,3788.9
199,2/13/19 17:30,6.268,118.4
200,2/13/19 18:00,4.831,0
201,2/13/19 18:30,4.102,0
202,2/13/19 19:00,3.893,0
203,2/13/19 19:30,3.472,0
204,2/13/19 20:00,3.683,0
205,2/13/19 20:30,4.311,0
206,2/13/19 21:00,4.519,0
207,2/13/19 21:30,5.037,0
208,2/13/19 22:00,5.141,0
209,2/13/19 22:30,4.934,0
210,2/13/19 23:00,5.244,0
211,2/13/19 23:30,4.311,0
212,2/14/19 0:00,3.472,0
213,2/14/19 0:30,3.472,0
214,2/14/19 1:00,4.311,0
215,2/14/19 1:30,4.831,0
216,2/14/19 2:00,5.347,0
217,2/14/19 2:30,5.552,0
218,2/14/19 3:00,5.552,0
219,2/14/19 3:30,5.347,0
220,2/14/19 4:00,5.347,0
221,2/14/19 4:30,5.244,0
222,2/14/19 5:00,4.934,0
223,2/14/19 5:30,4.831,0
224,2/14/19 6:00,4.727,0
225,2/14/19 6:30,4.831,0
226,2/14/19 7:00,4.727,204.5
227,2/14/19 7:30,4.934,527.4
228,2/14/19 8:00,5.141,979.5
229,2/14/19 8:30,4.831,796.5
230,2/14/19 9:00,4.934,2066.7
231,2/14/19 9:30,5.244,3444.5
232,2/14/19 10:00,5.45,4822.3
233,2/14/19 10:30,5.244,3272.2
234,2/14/19 11:00,5.141,2497.2
235,2/14/19 11:30,5.141,2583.4
236,2/14/19 12:00,5.141,3100
237,2/14/19 12:30,5.655,5166.7
238,2/14/19 13:00,5.655,3788.9
239,2/14/19 13:30,5.757,6200
240,2/14/19 14:00,5.86,5166.7
241,2/14/19 14:30,6.064,3100
242,2/14/19 15:00,6.268,2152.8
243,2/14/19 15:30,6.268,2152.8
244,2/14/19 16:00,6.268,688.9
245,2/14/19 16:30,6.37,1550
246,2/14/19 17:00,6.37,871.9
247,2/14/19 17:30,6.166,43.1
248,2/14/19 18:00,6.064,0
249,2/14/19 18:30,5.962,0
250,2/14/19 19:00,5.347,0
251,2/14/19 19:30,4.311,0
252,2/14/19 20:00,3.893,0
253,2/14/19 20:30,3.788,0
254,2/14/19 21:00,3.367,0
255,2/14/19 21:30,3.367,0
256,2/14/19 22:00,3.155,0
257,2/14/19 22:30,2.837,0
258,2/14/19 23:00,2.73,0
259,2/14/19 23:30,2.303,0
260,2/15/19 0:00,2.73,0
261,2/15/19 0:30,2.41,0
262,2/15/19 1:00,2.088,0
263,2/15/19 1:30,2.088,0
264,2/15/19 2:00,1.439,0
265,2/15/19 2:30,1.764,0
266,2/15/19 3:00,1.764,0
267,2/15/19 3:30,1.656,0
268,2/15/19 4:00,0.784,0
269,2/15/19 4:30,1.003,0
270,2/15/19 5:00,0.784,0
271,2/15/19 5:30,1.003,0
272,2/15/19 6:00,1.003,0
273,2/15/19 6:30,1.33,322.9
274,2/15/19 7:00,1.98,4994.5
275,2/15/19 7:30,3.261,14466.8
276,2/15/19 8:00,4.311,26178
277,2/15/19 8:30,5.552,24800.2
278,2/15/19 9:00,7.079,35822.5
279,2/15/19 9:30,11.236,52355.9
280,2/15/19 10:00,14.996,38578
281,2/15/19 10:30,16.999,88178.4
282,2/15/19 11:00,18.236,88178.4
283,2/15/19 11:30,21.951,82667.2
284,2/15/19 12:00,23.966,165334.4
285,2/15/19 12:30,27.567,132267.5
286,2/15/19 13:00,24.545,79911.6
287,2/15/19 13:30,22.333,71644.9
288,2/15/19 14:00,21.664,60622.6
289,2/15/19 14:30,19.187,55111.5
290,2/15/19 15:00,17.95,66133.8
291,2/15/19 15:30,15.569,34444.7
292,2/15/19 16:00,12.787,26178
293,2/15/19 16:30,11.236,17222.3
294,2/15/19 17:00,7.882,6544.5
295,2/15/19 17:30,5.347,301.4
296,2/15/19 18:00,3.893,0
297,2/15/19 18:30,2.943,0
298,2/15/19 19:00,2.624,0
299,2/15/19 19:30,1.656,0
300,2/15/19 20:00,1.439,0
301,2/15/19 20:30,1.33,0
302,2/15/19 21:00,1.112,0
303,2/15/19 21:30,2.195,0
304,2/15/19 22:00,2.837,0
305,2/15/19 22:30,2.73,0
306,2/15/19 23:00,2.73,0
307,2/15/19 23:30,2.41,0
308,2/16/19 0:00,2.088,0
309,2/16/19 0:30,1.548,0
310,2/16/19 1:00,1.98,0
311,2/16/19 1:30,2.088,0
312,2/16/19 2:00,1.112,0
313,2/16/19 2:30,0.893,0
314,2/16/19 3:00,0.674,0
315,2/16/19 3:30,0.121,0
316,2/16/19 4:00,0.01,0
317,2/16/19 4:30,-0.213,0
318,2/16/19 5:00,-0.437,0
319,2/16/19 5:30,-0.549,0
320,2/16/19 6:00,-0.662,0
321,2/16/19 6:30,-0.662,1097.9
322,2/16/19 7:00,-0.102,2927.8
323,2/16/19 7:30,0.343,4133.4
324,2/16/19 8:00,2.088,13089
325,2/16/19 8:30,1.656,10333.4
326,2/16/19 9:00,1.872,5511.1
327,2/16/19 9:30,2.303,6200
328,2/16/19 10:00,7.481,11022.3
329,2/16/19 10:30,14.996,170845.6
330,2/16/19 11:00,25.513,187379
331,2/16/19 11:30,29.252,187379
332,2/16/19 12:00,31.983,187379
333,2/16/19 12:30,32.704,198401.3
334,2/16/19 13:00,30.356,187379
335,2/16/19 13:30,20.615,187379
336,2/16/19 14:00,29.053,132267.5
337,2/16/19 14:30,27.173,104711.8
338,2/16/19 15:00,24.062,82667.2
339,2/16/19 15:30,20.901,49600.3
340,2/16/19 16:00,10.944,13089
341,2/16/19 16:30,8.978,11022.3
342,2/16/19 17:00,6.674,3961.1
343,2/16/19 17:30,4.623,581.3
344,2/16/19 18:00,3.155,0
345,2/16/19 18:30,2.41,0
346,2/16/19 19:00,1.656,0
347,2/16/19 19:30,1.112,0
348,2/16/19 20:00,0.784,0
349,2/16/19 20:30,0.453,0
350,2/16/19 21:00,0.121,0
351,2/16/19 21:30,0.121,0
352,2/16/19 22:00,0.01,0
353,2/16/19 22:30,-0.102,0
354,2/16/19 23:00,-0.102,0
355,2/16/19 23:30,-0.102,0
356,2/17/19 0:00,-0.213,0
357,2/17/19 0:30,-0.102,0
358,2/17/19 1:00,-0.213,0
359,2/17/19 1:30,-0.102,0
360,2/17/19 2:00,-0.213,0
361,2/17/19 2:30,-0.549,0
362,2/17/19 3:00,-0.437,0
363,2/17/19 3:30,-0.549,0
364,2/17/19 4:00,-0.213,0
365,2/17/19 4:30,-0.662,0
366,2/17/19 5:00,-1.001,0
367,2/17/19 5:30,-1.114,0
368,2/17/19 6:00,-1.341,0
369,2/17/19 6:30,-1.228,1980.6
370,2/17/19 7:00,-0.549,5511.1
371,2/17/19 7:30,-0.213,5166.7
372,2/17/19 8:00,1.872,7577.8
373,2/17/19 8:30,1.33,8611.2
374,2/17/19 9:00,1.221,7233.4
375,2/17/19 9:30,1.548,7577.8
376,2/17/19 10:00,7.179,30311.3
377,2/17/19 10:30,13.846,170845.6
378,2/17/19 11:00,22.525,187379
379,2/17/19 11:30,26.39,209423.6
380,2/17/19 12:00,25.805,231468.2
381,2/17/19 12:30,20.329,82667.2
382,2/17/19 13:00,22.333,198401.3
383,2/17/19 13:30,18.331,77156.1
384,2/17/19 14:00,13.846,34444.7
385,2/17/19 14:30,10.651,20666.8
386,2/17/19 15:00,6.268,7577.8
387,2/17/19 15:30,5.347,15844.5
388,2/17/19 16:00,3.578,1550
389,2/17/19 16:30,2.624,570.5
390,2/17/19 17:00,2.303,1001
391,2/17/19 17:30,1.764,10.8
392,2/17/19 18:00,1.221,0
393,2/17/19 18:30,0.893,0
394,2/17/19 19:00,0.674,0
395,2/17/19 19:30,0.784,0
396,2/17/19 20:00,0.784,0
397,2/17/19 20:30,0.343,0
398,2/17/19 21:00,-0.102,0
399,2/17/19 21:30,-0.437,0
400,2/17/19 22:00,-0.662,0
401,2/17/19 22:30,-0.662,0
402,2/17/19 23:00,-1.001,0
403,2/17/19 23:30,-1.114,0
404,2/18/19 0:00,-1.114,0
405,2/18/19 0:30,-1.228,0
406,2/18/19 1:00,-1.341,0
407,2/18/19 1:30,-1.341,0
408,2/18/19 2:00,-1.456,0
409,2/18/19 2:30,-1.114,0
410,2/18/19 3:00,-1.114,0
411,2/18/19 3:30,-1.001,0
412,2/18/19 4:00,-1.001,0
413,2/18/19 4:30,-0.887,0
414,2/18/19 5:00,-0.774,0
415,2/18/19 5:30,-0.774,0
416,2/18/19 6:00,-0.774,0
417,2/18/19 6:30,-0.887,161.5
418,2/18/19 7:00,-0.549,656.6
419,2/18/19 7:30,-0.437,1463.9
420,2/18/19 8:00,-0.325,2238.9
421,2/18/19 8:30,0.232,5166.7
422,2/18/19 9:00,0.01,4305.6
423,2/18/19 9:30,-0.102,3961.1
424,2/18/19 10:00,0.563,8266.7
425,2/18/19 10:30,1.221,10333.4
426,2/18/19 11:00,3.049,27555.7
427,2/18/19 11:30,5.962,44089.2
428,2/18/19 12:00,7.079,52355.9
429,2/18/19 12:30,14.421,165334.4
430,2/18/19 13:00,20.138,176356.7
431,2/18/19 13:30,23.966,159823.3
432,2/18/19 14:00,23.581,137778.7
433,2/18/19 14:30,21.855,110223
434,2/18/19 15:00,19.853,85422.8
435,2/18/19 15:30,16.332,57867
436,2/18/19 16:00,4.623,3616.7
437,2/18/19 16:30,2.303,3100
438,2/18/19 17:00,1.33,2152.8
439,2/18/19 17:30,0.453,592
440,2/18/19 18:00,0.01,0
441,2/18/19 18:30,-0.102,0
442,2/18/19 19:00,-0.102,0
443,2/18/19 19:30,-0.213,0
444,2/18/19 20:00,-0.437,0
445,2/18/19 20:30,-0.437,0
446,2/18/19 21:00,-0.437,0
447,2/18/19 21:30,-0.887,0
448,2/18/19 22:00,-1.001,0
449,2/18/19 22:30,-1.114,0
450,2/18/19 23:00,-1.001,0
451,2/18/19 23:30,-1.114,0
452,2/19/19 0:00,-1.341,0
453,2/19/19 0:30,-1.341,0
454,2/19/19 1:00,-1.57,0
455,2/19/19 1:30,-1.799,0
456,2/19/19 2:00,-1.799,0
457,2/19/19 2:30,-1.799,0
458,2/19/19 3:00,-1.914,0
459,2/19/19 3:30,-2.145,0
460,2/19/19 4:00,-2.145,0
461,2/19/19 4:30,-2.377,0
462,2/19/19 5:00,-2.494,0
463,2/19/19 5:30,-2.844,0
464,2/19/19 6:00,-2.962,0
465,2/19/19 6:30,-3.079,1356.3
466,2/19/19 7:00,-2.61,3100
467,2/19/19 7:30,-1.799,6200
468,2/19/19 8:00,-0.325,20666.8
469,2/19/19 8:30,-0.437,11022.3
470,2/19/19 9:00,-0.102,6200
471,2/19/19 9:30,0.563,7233.4
472,2/19/19 10:00,7.983,126756.4
473,2/19/19 10:30,7.179,115734.1
474,2/19/19 11:00,15.951,198401.3
475,2/19/19 11:30,18.426,198401.3
476,2/19/19 12:00,20.424,198401.3
477,2/19/19 12:30,20.329,187379
478,2/19/19 13:00,19.853,176356.7
479,2/19/19 13:30,22.525,159823.3
480,2/19/19 14:00,20.615,137778.7
481,2/19/19 14:30,19.758,115734.1
482,2/19/19 15:00,18.14,88178.4
483,2/19/19 15:30,14.804,60622.6
484,2/19/19 16:00,2.624,4305.6
485,2/19/19 16:30,1.112,3444.5
486,2/19/19 17:00,0.343,2411.1
487,2/19/19 17:30,-0.437,710.4
488,2/19/19 18:00,-1.001,0
489,2/19/19 18:30,-0.887,0
490,2/19/19 19:00,-1.001,0
491,2/19/19 19:30,-0.887,0
492,2/19/19 20:00,-1.228,0
493,2/19/19 20:30,-1.001,0
494,2/19/19 21:00,-1.341,0
495,2/19/19 21:30,-2.261,0
496,2/19/19 22:00,-2.844,0
497,2/19/19 22:30,-2.03,0
498,2/19/19 23:00,-2.03,0
499,2/19/19 23:30,-2.962,0
500,2/20/19 0:00,-2.61,0
501,2/20/19 0:30,-1.684,0
502,2/20/19 1:00,-2.261,0
503,2/20/19 1:30,-1.799,0
504,2/20/19 2:00,-1.799,0
505,2/20/19 2:30,-2.844,0
506,2/20/19 3:00,-3.434,0
507,2/20/19 3:30,-3.197,0
508,2/20/19 4:00,-3.672,0
509,2/20/19 4:30,-3.792,0
510,2/20/19 5:00,-3.911,0
511,2/20/19 5:30,-2.844,0
512,2/20/19 6:00,-2.03,0
513,2/20/19 6:30,-1.799,2325
514,2/20/19 7:00,-0.662,9644.5
515,2/20/19 7:30,1.112,23422.4
516,2/20/19 8:00,2.303,22044.6
517,2/20/19 8:30,1.112,8611.2
518,2/20/19 9:00,1.764,10677.8
519,2/20/19 9:30,4.415,38578
520,2/20/19 10:00,9.571,77156.1
521,2/20/19 10:30,12.401,126756.4
522,2/20/19 11:00,12.883,159823.3
523,2/20/19 11:30,19.567,104711.8
524,2/20/19 12:00,13.269,71644.9
525,2/20/19 12:30,17.379,121245.2
526,2/20/19 13:00,12.11,44089.2
527,2/20/19 13:30,7.582,39955.8
528,2/20/19 14:00,7.983,44089.2
529,2/20/19 14:30,11.625,52355.9
530,2/20/19 15:00,15.091,88178.4
531,2/20/19 15:30,9.571,24800.2
532,2/20/19 16:00,5.962,13089
533,2/20/19 16:30,4.831,6200
534,2/20/19 17:00,3.578,1550
535,2/20/19 17:30,2.837,204.5
536,2/20/19 18:00,1.872,0
537,2/20/19 18:30,1.548,0
538,2/20/19 19:00,1.112,0
539,2/20/19 19:30,1.33,0
540,2/20/19 20:00,-0.325,0
541,2/20/19 20:30,0.784,0
542,2/20/19 21:00,0.674,0
543,2/20/19 21:30,-0.325,0
544,2/20/19 22:00,0.563,0
545,2/20/19 22:30,0.674,0
