Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,A+Z/V+A+Z,total carotenoids,total tocopherols
7C,7,C,sample,Site Reference,91.09916943,12.95145519,39.19728478,574.610315,232.7381012,270.4641097,381.4553145,6.942916985,24.23109258,284.8868412,0.954538247,1332.05164,31.17400956
7C-2,7,C,sample,Site Reference,68.11522529,9.086503866,30.85721498,481.3865393,207.9214504,231.3757906,298.6957533,5.289156139,18.58717493,247.8651693,0.963340941,1096.062687,23.87633106
7C-3,7,C,sample,Site Reference,81.84652699,9.428000781,32.42527156,511.5161725,203.6979742,286.2275383,351.5650541,4.239515244,18.25045216,245.5512465,0.961604753,1190.479,22.48996741
7C-mean,7,C,mean,Site Reference,80.35364057,10.48865328,34.15992377,522.5043423,214.7858419,262.6891462,343.9053739,5.490529456,20.35623989,259.434419,0.95982798,1206.197776,25.84676935
7C-dev,7,C,dev,Site Reference,9.442349792,1.747035578,3.619019644,38.84347215,12.81072851,23.05813087,34.21782449,1.112806857,2.743380893,18.02235474,0.003806971,96.98111985,3.809209657
8A,8,A,sample,UV Filtered,114.9010678,25.62404551,44.40937411,540.2855741,153.2971147,429.5507886,189.3401199,5.473572867,25.6416709,223.3305344,0.88526403,1067.857296,31.11524376
8A-2,8,A,sample,UV Filtered,118.6866228,34.83794812,49.43716522,503.1704093,155.1309028,441.6221256,146.5953834,5.517082167,17.90192462,239.4060161,0.854481735,1007.858432,23.41900679
8A-3,8,A,sample,UV Filtered,104.8812091,25.92574616,42.35462936,504.0062956,150.3563118,460.9198842,178.050179,3.868138864,21.04178393,218.6366873,0.881420879,1005.574371,24.9099228
8A-mean,8,A,mean,UV Filtered,112.8229665,28.79591326,45.40038956,515.8207597,152.9281098,444.0309328,171.3285608,4.952931299,21.52845982,227.1244126,0.873722215,1027.0967,26.48139112
8A-dev,8,A,dev,UV Filtered,5.824445056,4.274138879,2.975137226,17.30260163,1.966605088,12.91915386,18.08615012,0.76726972,3.178422897,8.893307941,0.013695242,28.83717399,3.332681644
8B,8,B,sample,UV Transmitted,121.3038396,35.55356354,56.49872137,498.9192997,154.7812801,420.3607279,149.4930159,4.508479688,17.45799026,246.833565,0.85596139,1016.54972,21.96646995
8B-2,8,B,sample,UV Transmitted,124.3613243,44.04904712,51.10082957,532.0768552,164.5881773,455.1761729,147.803933,4.658576429,16.2594048,259.738054,0.830409728,1063.980167,20.91798123
8B-3,8,B,sample,UV Transmitted,123.0508505,34.6216869,43.23642219,493.2646787,138.5908687,443.340052,138.7429075,3.535965903,16.07497347,216.4489778,0.840046891,971.5074146,19.61093937
8B-mean,8,B,mean,UV Transmitted,122.9053382,38.07476585,50.27865771,508.0869446,152.653442,439.625651,145.3466188,4.234340673,16.59745617,241.0068656,0.842139337,1017.345767,20.83179685
8B-dev,8,B,dev,UV Transmitted,1.252446556,4.241550507,5.445433548,17.11978475,10.71947712,14.45398179,4.720169664,0.4976128,0.613130172,18.14660389,0.010535831,37.75603911,0.963570404
8C-1,8,C,sample,Site Reference,105.4937563,20.09914805,49.90118632,586.4793246,278.3027192,330.2434257,154.1069936,9.369289074,21.74511977,348.3030536,0.94229408,1194.383128,31.11440885
8C-2,8,C,sample,Site Reference,107.4970104,20.3421726,50.38118911,570.9814383,274.1107591,347.773462,151.1410417,8.640588016,23.38357218,344.8341208,0.941008817,1174.453611,32.0241602
8C-3,8,C,sample,Site Reference,100.8801919,20.21530589,60.83263765,600.0217722,274.0611587,337.5016102,166.3178015,10.13513671,24.28718774,355.1091022,0.943072972,1222.328868,34.42232445
8C-mean,8,C,mean,Site Reference,104.6236529,20.21887551,53.70500436,585.8275117,275.4915457,338.5061659,157.1886122,9.381671267,23.13862656,349.4154256,0.94212529,1197.055202,32.52029783
8C-dev,8,C,dev,Site Reference,2.770485154,0.099246458,5.043805963,11.86462228,1.987903002,7.191772718,6.567891061,0.610209767,1.052148959,4.267851853,0.000851098,19.63610672,1.395275556
9A,9,A,sample,UV Filtered,124.5505963,32.1468665,41.42426115,737.767047,320.3555353,246.4394756,344.0490981,13.81272214,32.71448732,393.926663,0.918393779,1600.293404,46.52720946
9A-2,9,A,sample,UV Filtered,108.5808847,32.26570838,39.31162616,529.2973367,202.2237686,226.8790662,172.4008884,6.716157792,17.68658942,273.8011032,0.882156397,1084.080213,24.40274721
9A-3,9,A,sample,UV Filtered,116.4814695,30.08981901,35.87353358,537.9046314,195.7912314,333.2640819,150.1777508,5.549900054,13.80099368,261.754584,0.885045685,1066.318436,19.35089373
9A-mean,9,A,mean,UV Filtered,116.5376502,31.50079797,38.86980697,601.6563384,239.4568451,268.8608746,222.2092458,8.692926661,21.40069014,309.82745,0.89519862,1250.230684,30.0936168
9A-dev,9,A,dev,UV Filtered,6.519728489,0.998891738,2.287509166,96.3089305,57.26425846,46.23477941,86.63016864,3.651416946,8.155814635,59.67013698,0.016443814,247.6379093,11.80190752
9B,9,B,sample,UV Transmitted,149.1436275,46.67677724,52.89810299,578.2209266,221.16015,285.0730285,203.0280612,8.675477897,21.83488871,320.7350303,0.854469351,1251.127646,30.51036661
9B-2,9,B,sample,UV Transmitted,96.3727933,22.76426844,39.16946696,496.0102876,209.2338342,252.9441509,186.343342,4.910186013,13.85043814,271.1675696,0.916050918,1049.893993,18.76062415
9B-3,9,B,sample,UV Transmitted,99.05185036,22.19052447,32.49495405,455.4604108,179.1415956,305.8491401,122.3592379,3.589247569,10.75147406,233.8270741,0.905098567,910.6985731,14.34072163
9B-mean,9,B,mean,UV Transmitted,114.8560904,30.54385672,41.52084134,509.8972083,203.1785266,281.2887732,170.5768804,5.724970493,15.47893363,275.2432247,0.891872945,1070.573404,21.20390413
9B-dev,9,B,dev,UV Transmitted,24.26960701,11.41010192,8.493873981,51.06969738,17.68030528,21.76350017,34.76876711,2.154892116,4.66901262,35.59687659,0.026823624,139.7467158,6.823565416
9C (outlier),9,C,sample,Site Reference,113.471932,16.85244219,43.51430053,810.6138326,344.8051721,237.8602502,344.5798623,10.49969924,29.13976541,405.1719148,0.958406687,1673.837542,39.63946465
9C-2,9,C,sample,Site Reference,107.9528262,25.99445855,52.33057537,467.3775089,192.6871492,212.2151245,169.0020323,5.004069871,13.57752568,271.0121831,0.904083801,1015.344551,18.58159555
9C-3,9,C,sample,Site Reference,97.51915664,11.28225374,40.29638603,652.1993394,271.0201245,273.032981,232.8905109,7.873836955,23.47470343,322.5987643,0.965026978,1305.207771,31.34854038
9C-4,9,C,sample,Site Reference,109.9911,18.06340327,48.72092846,645.5150078,240.5260855,388.8918655,174.2681105,8.986857936,25.9666173,307.3104173,0.941220986,1237.084636,34.95347524
9C-mean,9,C,mean,Site Reference,105.1543609,18.44670519,47.11596329,588.363952,234.7444531,291.3799903,192.0535513,7.288254921,21.00628214,300.3071215,0.936777255,1185.878986,28.29453706
9C-dev,9,C,dev,Site Reference,5.462654927,6.01234468,5.042311847,85.59384574,32.23956379,73.28541133,28.95601088,1.677861721,5.350528046,21.63451643,0.025077583,123.7515942,7.023997596
11A (outlier),11,A,sample,UV Filtered,49.92938247,37.77384689,45.13551204,604.6828732,242.0123329,259.9852865,526.2463719,6.403572236,28.29805828,324.9216918,0.883744767,1505.780319,34.70163052
11A-2,11,A,sample,UV Filtered,104.3788839,29.22884204,40.59429443,440.8935624,146.8733964,271.6971003,292.8378165,2.591430952,13.5022783,216.6965328,0.865116245,1054.806796,16.09370925
11A-3,11,A,sample,UV Filtered,76.95047494,18.94145093,33.07733029,392.5540963,129.4237399,311.6302274,143.7142278,2.714795344,11.77675658,181.4425212,0.895606329,794.6613202,14.49155192
11A-4,11,A,sample,UV Filtered,114.9843762,41.14597091,48.42171522,430.2097554,133.9174093,417.0269049,145.5913755,3.047928495,14.29476,223.4850954,0.815889418,914.2706026,17.34268849
11A-mean,11,A,mean,UV Filtered,98.77124501,29.77208796,40.69777998,421.219138,136.7381819,333.4514109,194.0478066,2.784718263,13.19126496,207.2080498,0.858870664,921.2462395,15.97598322
11A-dev,11,A,dev,UV Filtered,16.02557584,9.073092599,6.264746291,20.73321647,7.397756227,61.30421986,69.85928934,0.192811502,1.051231747,18.42856471,0.032842573,106.3184265,1.166944586
11B,11,B,sample,UV Transmitted,116.1385692,23.84311916,25.00699774,555.1641707,197.7709203,353.7288854,495.1839492,3.651130189,26.54428629,246.6210372,0.903320822,1413.107726,30.19541648
11B-3,11,B,sample,UV Transmitted,74.68086863,17.99572615,24.01370504,352.7765016,117.4017636,295.1944905,220.2591957,1.767781069,12.92896238,159.4111948,0.887111277,807.1277606,14.69674344
11B-2,11,B,sample,UV Transmitted,91.42974175,24.65780591,28.57943379,385.0247678,128.0417659,319.2348405,221.4382865,1.97574239,14.67756455,181.2790056,0.863978701,879.1718017,16.65330694
11B-mean,11,B,mean,UV Transmitted,94.08305984,22.16555041,25.86671219,430.98848,147.7381499,322.7194055,312.2938104,2.464884549,18.05027107,195.7704125,0.8848036,1033.135763,20.51515562
11B-dev,11,B,dev,UV Transmitted,17.02870725,2.967210178,1.96057839,88.78697082,35.64417668,24.02325946,129.3237532,0.843087981,6.048450119,37.04852504,0.016144032,270.2857817,6.891425729
11C (outlier),11,C,sample,Site Reference,115.8520105,19.23567406,39.81886651,668.8336144,283.681746,273.803509,494.7229441,4.792487349,27.5241888,342.7362866,0.943876167,1622.144856,32.31667615
11C-2,11,C,sample,Site Reference,87.61953342,13.60334751,37.0205951,468.6016516,181.3164222,231.6510261,271.4467239,2.911338732,14.37564322,231.9403648,0.941349805,1059.608274,17.28698195
11C-3,11,C,sample,Site Reference,71.46121676,9.036883493,35.81396729,518.4628242,214.9818831,231.5183347,378.5966536,4.292966963,22.15165636,259.8327339,0.965220381,1228.353428,26.44462332
11C-4,11,C,sample,Site Reference,97.63766232,15.75259112,46.70572713,542.9151002,195.5394888,360.2921641,309.4114149,3.975393668,22.33927752,257.9978071,0.938942926,1207.961984,26.31467119
11C-mean,11,C,mean,Site Reference,85.57280417,12.79760738,39.84676317,509.993192,197.2792647,274.487175,319.8182642,3.726566454,19.62219237,249.9236352,0.948504371,1165.307896,23.34875882
11C-dev,11,C,dev,Site Reference,10.7840438,2.800249407,4.874971972,30.92381136,13.79881466,60.67331383,44.35841702,0.590852705,3.710661117,12.7381383,0.011860776,75.20310405,4.28665184
12A,12,A,sample,UV Filtered,105.5997747,21.54394794,48.50923399,600.4635245,236.9293377,234.9522364,345.7092108,7.350465558,16.38694794,306.9825197,0.929820278,1358.75503,23.7374135
12A-2,12,A,sample,UV Filtered,72.936372,11.00115586,35.88468424,496.5676769,176.0483812,276.3771982,201.8413284,5.054433514,12.8158964,222.9342213,0.950652906,994.2795985,17.87032992
12A-3,12,A,sample,UV Filtered,127.5438378,23.33220701,42.10416867,438.4477148,150.0283892,324.2874671,172.3681242,3.393821751,8.216902785,215.4647649,0.891712192,953.8244418,11.61072454
12A-mean,12,A,mean,UV Filtered,102.0266615,18.62577027,42.16602897,511.8263054,187.6687027,278.5389673,239.9728878,5.266240274,12.47324904,248.460502,0.924061792,1102.286357,17.73948932
12A-dev,12,A,dev,UV Filtered,22.43611945,5.440620448,5.15413647,67.01691308,36.41627491,36.50297517,75.72888017,1.622221549,3.344195457,41.49351848,0.024404536,182.1012358,4.951564451
12B,12,B,sample,UV Transmitted,105.7877155,30.27836136,41.75401006,500.8485127,169.1518067,279.4719063,216.5483962,4.698217134,9.889893553,241.1841781,0.874459587,1064.368802,14.58811069
12B-2,12,B,sample,UV Transmitted,87.4937784,21.28158957,30.43709542,455.1967218,161.9524829,279.4425475,183.9896708,3.716160871,9.440508211,213.6711679,0.900400275,940.3513389,13.15666908
12B-3,12,B,sample,UV Transmitted,104.1131265,20.71957998,41.45809152,462.8210933,165.1305338,333.9194852,209.7058622,3.535309236,10.03718336,227.3082053,0.908848077,1003.948287,13.5724926
12B-mean,12,B,mean,UV Transmitted,99.13154013,24.09317697,37.88306567,472.9554426,165.4116078,297.611313,203.414643,3.98322908,9.789195042,227.3878504,0.894569313,1002.889476,13.77242412
12B-dev,12,B,dev,UV Transmitted,8.257488953,4.379599915,5.266481851,19.96747821,2.9458239,25.6737576,14.01670976,0.51093559,0.253785279,11.23228057,0.014631978,50.63545285,0.601240788
12C,12,C,sample,Site Reference,106.3697173,20.33624131,39.37980854,637.9593451,291.0542089,232.5430851,660.5793722,7.83793724,26.70180687,350.7702588,0.942024043,1755.678693,34.53974411
12C-2,12,C,sample,Site Reference,80.81051121,12.65961964,34.92336983,470.8785497,190.5213571,217.6134131,432.8978643,4.20114386,15.35268444,238.1043466,0.946831632,1222.691272,19.5538283
12C-3,12,C,sample,Site Reference,91.95731181,13.81063481,36.00796269,514.558753,214.461048,252.5525287,466.8875096,5.107871899,17.6891431,264.2796455,0.947742344,1337.68322,22.797015
12C-mean,12,C,mean,Site Reference,93.04584676,15.60216525,36.77038035,541.1322159,232.0122047,234.2363423,520.121582,5.715651,19.9145448,284.3847503,0.945532673,1438.684395,25.6301958
12C-dev,12,C,dev,Site Reference,10.46285285,3.38031715,1.897528572,70.75125321,42.87770127,14.3139976,100.2833223,1.545663417,4.893189455,48.1425894,0.00250868,229.0121189,6.437629135
13A,13,A,sample,UV Filtered,96.03895343,22.64039171,44.28113405,370.3114796,122.0003648,219.1940419,237.0296187,5.071097394,18.82500049,188.9218906,0.88016004,892.3019422,23.89609788
13A-2,13,A,sample,UV Filtered,71.33820878,15.76972083,15.1935109,373.8952597,127.9357606,300.8122746,152.3202983,4.319112489,9.611430229,158.8989923,0.900756319,756.4527592,13.93054272
13A-3,13,A,sample,UV Filtered,102.8246716,22.4510063,33.09955655,475.7755597,155.5362626,357.1240384,190.0132637,4.608650294,9.912074501,211.0868254,0.893640893,979.7003204,14.5207248
13A-mean,13,A,mean,UV Filtered,90.06727794,20.28703961,30.85806717,406.6607663,135.1574627,292.3767849,193.1210602,4.666286726,12.78283507,186.3025694,0.891519084,876.1516739,17.4491218
13A-dev,13,A,dev,UV Filtered,13.53009033,3.195162329,11.98027994,48.89343426,14.61229723,56.62472427,34.65218644,0.309689945,4.274218753,21.3859473,0.008541203,91.85311382,4.565063284
13B,13,B,sample,UV Transmitted,149.6572866,36.07043145,39.14472579,636.0222614,227.9152203,352.7411285,343.8358232,6.080047965,18.41933203,303.1303775,0.881006873,1432.645749,24.49937999
13B-2,13,B,sample,UV Transmitted,105.9981661,25.90461478,35.30271505,454.2749707,133.7538737,302.6217177,215.8470602,3.237730486,16.12845651,194.9612036,0.867129386,971.0814005,19.366187
13B-3,13,B,sample,UV Transmitted,101.6089349,24.25621099,30.64019466,415.080838,140.6985417,349.3673466,197.0694715,2.258760046,11.25180534,195.5949474,0.875987538,909.3541918,13.51056539
13B-mean,13,B,mean,UV Transmitted,119.0881292,28.74375241,35.02921183,501.79269,167.4558786,334.9100643,252.250785,3.858846166,15.26653129,231.2288428,0.874707932,1104.360447,19.12537746
13B-dev,13,B,dev,UV Transmitted,21.68980366,5.224268887,3.477342417,96.25392939,42.84511722,22.87281637,65.21254418,1.620678635,2.988929131,50.84272107,0.005737259,233.4965975,4.489395175
13C,13,C,sample,Site Reference,118.9297558,17.39074431,41.35626578,638.4029533,259.114375,269.3894223,571.6882058,9.046221027,27.45191429,317.8613851,0.945288276,1646.8823,36.49813532
13C-2,13,C,sample,Site Reference,101.8878974,18.28671826,38.89453142,474.3616221,195.0491099,264.0151705,330.2248941,3.215810893,14.09893477,252.2303595,0.927499932,1158.704773,17.31474566
13C-3,13,C,sample,Site Reference,101.6082201,20.14614554,34.29300595,453.3085096,177.233102,303.6131053,232.2525131,3.515395345,11.79428538,231.6722535,0.913040318,1018.841496,15.30968073
13C-mean,13,C,mean,Site Reference,107.4752911,18.60786937,38.18126772,522.0243617,210.4655289,279.0058994,378.0552044,5.259142422,17.78171148,267.254666,0.928609509,1274.809523,23.0408539
13C-dev,13,C,dev,Site Reference,8.100334387,1.147580789,2.927338805,82.73971569,35.16044367,17.53770385,142.6416286,2.680660489,6.902292807,36.75539815,0.013188532,269.2199194,9.550877401
14A,14,A,sample,UV Filtered,118.4304192,27.50331447,41.41164292,626.1833085,213.475554,309.065571,319.7235358,7.335872315,20.24938395,282.3905114,0.902605387,1346.727775,27.58525626
14A-2,14,A,sample,UV Filtered,89.31020503,22.613818,36.46134968,511.8347113,177.6113416,374.4403941,257.4062995,4.573696925,14.58959451,236.6865093,0.904456667,1095.237725,19.16329143
14A-3,14,A,sample,UV Filtered,93.12650358,20.94609734,33.21539003,438.805149,145.3933655,327.9867193,158.6262051,3.84626128,9.096733812,199.5548529,0.895035891,890.1127106,12.94299509
14A-mean,14,A,mean,UV Filtered,100.2890426,23.68774327,37.02946088,525.6077229,178.8267537,337.1642281,245.2520135,5.251943507,14.64523742,239.5439579,0.900699315,1110.692737,19.89718093
14A-dev,14,A,dev,UV Filtered,12.9221565,2.782595996,3.370133837,77.11426825,27.80772094,27.46679056,66.32687985,1.503187749,4.553220351,33.87782301,0.00407534,186.7323794,6.000161019
14B,14,B,sample,UV Transmitted,131.7677234,35.95656349,38.29877664,639.6013257,224.808287,326.4628107,375.3433619,7.333479035,15.50012181,299.0636272,0.87976952,1445.776038,22.83360085
14B-2,14,B,sample,UV Transmitted,94.18246369,27.00409819,36.40418851,413.8353399,134.5453042,262.3467138,230.2222387,2.97737602,10.89721088,197.9535909,0.863583691,936.1936333,13.8745869
14B-3,14,B,sample,UV Transmitted,91.06512463,22.06554313,30.12608793,425.3287555,134.5431062,276.0061883,240.0113895,3.442969917,9.734224279,186.7347372,0.881834824,943.1400068,13.1771942
14B-mean,14,B,mean,UV Transmitted,105.6717706,28.34206827,34.94301769,492.921807,164.6322325,288.2719042,281.8589967,4.584608324,12.04385232,227.9173185,0.875062678,1108.369893,16.62846065
14B-dev,14,B,dev,UV Transmitted,18.49645942,5.74936139,3.492799767,103.824164,42.55089625,27.57479903,66.22412335,1.953016822,2.489643019,50.51609382,0.008160544,238.5990266,4.396924138
14C,14,C,sample,Site Reference,105.6638243,19.17364418,46.53979799,613.1493866,273.1056181,225.867711,414.7090844,7.759412779,24.09151755,338.8190603,0.943410373,1472.341356,31.85093033
14C-2,14,C,sample,Site Reference,89.99134446,15.69791965,35.59751664,537.2059648,230.079826,231.3864586,305.5175221,4.578197609,14.81239876,281.3752623,0.944210022,1214.090094,19.39059636
14C-3,14,C,sample,Site Reference,103.8719863,16.75864817,35.70794651,473.2315019,194.2619472,287.4677621,185.1820441,4.393238463,16.02858154,246.7285419,0.932076573,1009.014074,20.42182
14C-mean,14,C,mean,Site Reference,99.84238503,17.21007067,39.28175371,541.1956178,232.4824638,248.2406439,301.8028835,5.576949617,18.31083261,288.9742882,0.939898989,1231.815174,23.88778223
14C-dev,14,C,dev,Site Reference,7.004042688,1.454419,5.132410331,57.19085947,32.23259855,27.82911241,93.74082876,1.545080702,4.117605606,37.97784259,0.005540909,189.5673605,5.646512274
15A,15,A,sample,UV Filtered,56.70071612,11.15139858,23.5943428,375.4373176,148.9584415,139.0537382,212.5342319,3.948504314,16.00117918,183.7041829,0.939296981,828.3764485,19.94968349
15A-2,15,A,sample,UV Filtered,89.7771899,17.0099596,35.09320561,460.7469379,173.7800935,228.0308721,291.6347144,3.861535966,17.53257551,225.8832587,0.924695793,1068.042101,21.39411148
15A-3,15,A,sample,UV Filtered,102.0686531,12.80073093,34.82147532,465.8840687,181.523188,300.6640446,186.8219587,3.814568634,14.92695599,229.1453942,0.94413708,983.9200748,18.74152462
15A-mean,15,A,mean,UV Filtered,82.84885306,13.6540297,31.16967458,434.0227747,168.087241,222.582885,230.3303017,3.874869638,16.15357023,212.9109453,0.936043284,960.1128747,20.02843987
15A-dev,15,A,dev,UV Filtered,19.15835442,2.466681093,5.357717047,41.4792267,13.89057485,66.08950096,44.60159574,0.055485924,1.06918366,20.69519441,0.008263607,99.28072426,1.084345019
